tempo, rssi, distancia, nivel_invasao, amostragem
15:48:03.028, -43, 0.5, 0, 1
15:48:04.030, -42, 0.5, 0, 1
15:48:05.031, -42, 0.5, 0, 1
15:48:06.031, -38, 0.5, 0, 1
15:48:07.032, -49, 0.5, 0, 1
15:48:08.033, -43, 0.5, 0, 1
15:48:09.035, -42, 0.5, 0, 1
15:48:10.036, -42, 0.5, 0, 1
15:48:11.036, -42, 0.5, 0, 1
15:48:12.038, -37, 0.5, 0, 1
15:48:13.040, -47, 0.5, 0, 1
15:48:14.036, -43, 0.5, 0, 1
15:48:15.068, -42, 0.5, 0, 1
15:48:16.038, -42, 0.5, 0, 1
15:48:17.072, -41, 0.5, 0, 1
15:48:18.041, -39, 0.5, 0, 1
15:48:19.076, -49, 0.5, 0, 1
15:48:20.046, -43, 0.5, 0, 1
15:48:21.049, -42, 0.5, 0, 1
15:48:22.047, -42, 0.5, 0, 1
15:48:23.079, -41, 0.5, 0, 1
15:48:24.080, -42, 0.5, 0, 1
15:48:25.080, -50, 0.5, 0, 1
15:48:26.083, -43, 0.5, 0, 1
15:48:27.083, -42, 0.5, 0, 1
15:48:28.084, -41, 0.5, 0, 1
15:48:29.085, -40, 0.5, 0, 1
15:48:30.086, -41, 0.5, 0, 1
15:48:31.087, -47, 0.5, 0, 1
15:48:32.086, -42, 0.5, 0, 1
15:48:33.087, -42, 0.5, 0, 1
15:48:34.086, -41, 0.5, 0, 1
15:48:35.085, -41, 0.5, 0, 1
15:48:36.085, -38, 0.5, 0, 1
15:48:37.085, -48, 0.5, 0, 1
15:48:38.085, -42, 0.5, 0, 1
15:48:39.087, -42, 0.5, 0, 1
15:48:40.089, -42, 0.5, 0, 1
15:48:41.085, -42, 0.5, 0, 1
15:48:42.083, -41, 0.5, 0, 1
15:48:43.082, -47, 0.5, 0, 1
15:48:44.080, -41, 0.5, 0, 1
15:48:45.083, -42, 0.5, 0, 1
15:48:46.085, -41, 0.5, 0, 1
15:48:47.087, -41, 0.5, 0, 1
15:48:48.088, -36, 0.5, 0, 1
15:48:49.087, -47, 0.5, 0, 1
15:48:50.087, -43, 0.5, 0, 1
15:48:51.087, -43, 0.5, 0, 1
15:48:52.119, -43, 0.5, 0, 1
15:48:53.087, -42, 0.5, 0, 1
15:48:54.121, -40, 0.5, 0, 1
15:48:55.090, -46, 0.5, 0, 1
15:48:56.124, -41, 0.5, 0, 1
15:48:57.124, -43, 0.5, 0, 1
15:48:58.095, -43, 0.5, 0, 1
15:48:59.127, -42, 0.5, 0, 1
15:49:00.098, -39, 0.5, 0, 1
15:49:01.129, -44, 0.5, 0, 1
15:49:02.099, -43, 0.5, 0, 1
15:49:03.132, -42, 0.5, 0, 1
15:49:04.101, -42, 0.5, 0, 1
15:49:05.134, -37, 0.5, 0, 1
15:49:06.135, -47, 0.5, 0, 1
15:49:07.134, -42, 0.5, 0, 1
15:49:08.134, -42, 0.5, 0, 1
15:49:09.133, -43, 0.5, 0, 1
15:49:10.133, -42, 0.5, 0, 1
15:49:11.135, -36, 0.5, 0, 1
15:49:12.137, -47, 0.5, 0, 1
15:49:13.144, -42, 0.5, 0, 1
15:49:14.144, -42, 0.5, 0, 1
15:49:15.145, -41, 0.5, 0, 1
15:49:16.145, -41, 0.5, 0, 1
15:49:17.144, -41, 0.5, 0, 1
15:49:18.140, -46, 0.5, 0, 1
15:49:19.136, -42, 0.5, 0, 1
15:49:20.138, -86, 0.5, 0, 1
15:53:14.252, -51, 1, 0, 3
15:53:17.254, -55, 1, 0, 3
15:53:20.259, -53, 1, 0, 3
15:53:23.261, -49, 1, 0, 3
15:53:26.263, -48, 1, 0, 3
15:53:29.265, -43, 1, 0, 3
15:53:32.267, -50, 1, 0, 3
15:53:35.270, -48, 1, 0, 3
15:53:38.275, -50, 1, 0, 3
15:53:41.275, -50, 1, 0, 3
15:53:44.275, -50, 1, 0, 3
15:53:47.277, -52, 1, 0, 3
15:53:50.312, -53, 1, 0, 3
15:53:53.315, -50, 1, 0, 3
15:53:56.319, -52, 1, 0, 3
15:53:59.318, -51, 1, 0, 3
15:54:02.321, -50, 1, 0, 3
15:54:05.322, -56, 1, 0, 3
15:54:08.325, -50, 1, 0, 3
15:54:11.330, -53, 1, 0, 3
15:54:14.326, -50, 1, 0, 3
15:54:17.326, -53, 1, 0, 3
15:54:20.331, -50, 1, 0, 3
15:54:23.336, -51, 1, 0, 3
15:54:26.337, -51, 1, 0, 3
15:54:29.337, -50, 1, 0, 3
15:54:32.339, -50, 1, 0, 3
15:54:35.339, -51, 1, 0, 3
15:54:38.347, -49, 1, 0, 3
15:54:41.347, -50, 1, 0, 3
15:54:44.351, -47, 1, 0, 3
15:54:47.357, -51, 1, 0, 3
15:54:50.360, -56, 1, 0, 3
15:54:53.365, -50, 1, 0, 3
15:54:56.368, -53, 1, 0, 3
15:54:59.375, -50, 1, 0, 3
15:55:02.379, -50, 1, 0, 3
15:55:05.381, -50, 1, 0, 3
15:55:08.376, -51, 1, 0, 3
15:55:11.379, -51, 1, 0, 3
15:55:14.375, -51, 1, 0, 3
15:55:17.376, -51, 1, 0, 3
15:55:20.411, -50, 1, 0, 3
15:55:23.411, -54, 1, 0, 3
15:55:26.413, -50, 1, 0, 3
15:55:29.414, -50, 1, 0, 3
15:55:32.416, -50, 1, 0, 3
15:55:35.419, -52, 1, 0, 3
15:55:38.423, -50, 1, 0, 3
15:55:41.424, -51, 1, 0, 3
15:55:44.431, -57, 1, 0, 3
15:55:47.431, -51, 1, 0, 3
15:55:50.435, -53, 1, 0, 3
15:55:53.426, -50, 1, 0, 3
15:55:56.429, -50, 1, 0, 3
15:55:59.433, -51, 1, 0, 3
15:56:02.438, -51, 1, 0, 3
